,brand,model,vehicle_age,km_driven,seller_type,fuel_type,transmission_type,mileage,engine,max_power,seats,selling_price,price_lakh
32,Hyundai,Santro,12.0,80000.0,Individual,Petrol,Manual,17.92,1086.0,62.1,5.0,125000.0,1.25
33,Mahindra,XUV500,6.0,130000.0,Individual,Diesel,Manual,15.1,2179.0,140.0,7.0,600000.0,6.0
34,Maruti,Swift Dzire,8.0,90000.0,Individual,Diesel,Manual,23.4,1248.0,74.0,5.0,380000.0,3.8
35,Hyundai,i20,3.0,15000.0,Individual,Diesel,Manual,22.54,1396.0,88.73,5.0,850000.0,8.5
36,Hyundai,i20,3.0,40000.0,Individual,Petrol,Manual,18.6,1197.0,88.5,5.0,598000.0,5.98
37,Honda,City,6.0,31180.0,Dealer,Petrol,Automatic,18.0,1497.0,117.3,5.0,700000.0,7.0
38,Maruti,Swift Dzire,7.0,56000.0,Dealer,Diesel,Manual,23.4,1248.0,74.0,5.0,410000.0,4.1
39,Maruti,Baleno,5.0,52427.0,Dealer,Petrol,Automatic,21.4,1197.0,83.1,5.0,590000.0,5.9
40,Mahindra,Bolero,1.0,40000.0,Individual,Diesel,Manual,21.0,1498.0,74.96,7.0,850000.0,8.5
41,Mahindra,KUV100,3.0,17000.0,Individual,Petrol,Manual,18.15,1198.0,82.0,5.0,550000.0,5.5
43,Maruti,Swift Dzire,6.0,54000.0,Individual,Petrol,Manual,20.85,1197.0,88.5,5.0,600000.0,6.0
44,Maruti,Wagon R,2.0,10000.0,Individual,Petrol,Manual,20.51,998.0,67.04,5.0,445000.0,4.45
45,Maruti,Ignis,6.0,20000.0,Individual,Petrol,Manual,20.89,1197.0,81.8,5.0,530000.0,5.3
46,Maruti,Wagon R,3.0,53237.0,Trustmark Dealer,CNG,Manual,26.6,998.0,58.16,5.0,410000.0,4.1
47,Datsun,RediGO,3.0,27263.0,Individual,Petrol,Manual,22.5,999.0,68.0,5.0,350000.0,3.5
48,Hyundai,Verna,6.0,110000.0,Individual,Diesel,Manual,22.32,1582.0,126.3,5.0,520000.0,5.2
49,Hyundai,i20,5.0,70000.0,Individual,Diesel,Manual,22.54,1396.0,88.73,5.0,750000.0,7.5
50,Maruti,Swift Dzire,4.0,70000.0,Individual,Diesel,Manual,26.59,1248.0,74.0,5.0,560000.0,5.6
51,Hyundai,i20,2.0,39000.0,Dealer,Petrol,Manual,18.6,1197.0,81.83,5.0,655000.0,6.55
52,Hyundai,Santro,14.0,56000.0,Dealer,Petrol,Manual,17.8,1086.0,63.0,5.0,125000.0,1.25
53,Hyundai,i20,3.0,34000.0,Individual,Petrol,Manual,18.6,1197.0,81.83,5.0,550000.0,5.5
54,Mahindra,Scorpio,4.0,50000.0,Individual,Diesel,Manual,15.4,1997.0,120.0,7.0,1150000.0,11.5
55,Volkswagen,Vento,9.0,77400.0,Individual,Diesel,Manual,20.54,1598.0,103.6,5.0,500000.0,5.0
56,Mahindra,Marazzo,2.0,36000.0,Individual,Petrol,Manual,17.3,1497.0,121.0,7.0,990000.0,9.9
57,Hyundai,Verna,8.0,47876.0,Dealer,Diesel,Manual,25.0,1493.0,113.42,5.0,551000.0,5.51
58,Mahindra,XUV500,3.0,21500.0,Individual,Diesel,Automatic,15.1,2179.0,152.87,7.0,1650000.0,16.5
59,Hyundai,Grand,6.0,75000.0,Dealer,Diesel,Manual,24.0,1120.0,70.0,5.0,350000.0,3.5
60,Ford,Aspire,4.0,58000.0,Dealer,Petrol,Manual,18.16,1196.0,86.8,5.0,500000.0,5.0
61,Maruti,Swift Dzire,3.0,30000.0,Individual,Petrol,Manual,21.21,1197.0,81.8,5.0,575000.0,5.75
62,Hyundai,Grand,3.0,50000.0,Individual,Diesel,Manual,24.0,1186.0,73.97,5.0,545000.0,5.45
63,Ford,Figo,4.0,19093.0,Trustmark Dealer,Petrol,Manual,18.16,1196.0,86.8,5.0,525000.0,5.25
64,Honda,Amaze,7.0,50000.0,Individual,Petrol,Manual,18.0,1198.0,86.7,5.0,400000.0,4.0
65,Maruti,Wagon R,15.0,37000.0,Dealer,Petrol,Manual,14.0,1061.0,64.0,5.0,155000.0,1.55
66,Maruti,Swift Dzire,5.0,47000.0,Dealer,Diesel,Manual,26.59,1248.0,74.0,5.0,545000.0,5.45
67,Honda,City,8.0,70000.0,Individual,Petrol,Manual,16.8,1497.0,116.3,5.0,545000.0,5.45
68,Renault,KWID,5.0,25000.0,Individual,Petrol,Manual,25.17,799.0,53.3,5.0,240000.0,2.4
69,Maruti,Unknown,3.0,26000.0,Dealer,Diesel,Manual,24.3,1248.0,88.5,5.0,725000.0,7.25
70,Ford,Aspire,4.0,30000.0,Individual,Petrol,Manual,18.16,1196.0,86.8,5.0,480000.0,4.8
71,Hyundai,i20,8.0,15000.0,Individual,Petrol,Manual,18.5,1197.0,82.9,5.0,375000.0,3.75
72,Maruti,Swift,6.0,130000.0,Individual,Diesel,Manual,17.8,1248.0,75.0,5.0,225000.0,2.25
73,Tata,Tiago,6.0,32100.0,Individual,Petrol,Manual,23.84,1199.0,84.0,5.0,400000.0,4.0
74,Hyundai,i20,5.0,22000.0,Dealer,Petrol,Manual,18.5,1197.0,82.9,5.0,550000.0,5.5
75,Unknown,Scorpio,5.0,44000.0,Dealer,Diesel,Manual,15.4,2179.0,120.0,7.0,1050000.0,10.5
76,Volkswagen,Polo,5.0,78000.0,Dealer,Petrol,Manual,18.78,1198.0,74.0,5.0,450000.0,4.5
77,Mercedes-Benz,C-Class,9.0,74352.0,Dealer,Petrol,Automatic,11.74,1796.0,186.0,5.0,775000.0,7.75
78,Maruti,Wagon R,7.0,37000.0,Individual,Petrol,Manual,20.51,998.0,67.04,5.0,350000.0,3.5
79,Honda,City,7.0,69000.0,Dealer,Diesel,Manual,25.1,1498.0,98.6,5.0,550000.0,5.5
80,Kia,Seltos,2.0,12120.0,Individual,Petrol,Manual,16.8,1497.0,113.4,5.0,1080000.0,10.8
81,Maruti,Baleno,5.0,52000.0,Dealer,Petrol,Manual,21.01,1197.0,81.8,5.0,575000.0,5.75
82,Toyota,Innova,5.0,120000.0,Individual,Diesel,Manual,12.99,2494.0,100.6,8.0,950000.0,9.5
83,Maruti,Alto,8.0,55000.0,Individual,Petrol,Manual,22.74,796.0,47.3,5.0,230000.0,2.3
84,Hyundai,i20,10.0,130000.0,Individual,Diesel,Manual,21.9,1396.0,90.0,5.0,270000.0,2.7
85,Ford,Unknown,6.0,40000.0,Individual,Petrol,Manual,15.6,1196.0,70.0,5.0,130000.0,1.3
86,Maruti,Swift Dzire,9.0,46000.0,Dealer,Petrol,Manual,19.1,1197.0,85.8,5.0,370000.0,3.7
87,Maruti,Baleno,4.0,25000.0,Dealer,Petrol,Manual,21.4,1197.0,83.1,5.0,570000.0,5.7
88,Volkswagen,Polo,8.0,90000.0,Dealer,Diesel,Manual,22.07,1199.0,73.9,5.0,365000.0,3.65
89,Hyundai,i20,9.0,49566.0,Dealer,Petrol,Manual,18.5,1197.0,82.85,5.0,280000.0,2.8
90,Hyundai,Verna,3.0,14000.0,Dealer,Diesel,Automatic,22.0,1582.0,126.2,5.0,1250000.0,12.5
91,Hyundai,i20,5.0,11000.0,Dealer,Petrol,Manual,19.67,1197.0,81.83,5.0,590000.0,5.9
92,Maruti,Celerio,3.0,5000.0,Individual,Petrol,Automatic,23.1,998.0,67.04,5.0,475000.0,4.75
93,Ford,Ecosport,4.0,55000.0,Dealer,Diesel,Manual,23.0,1498.0,98.96,5.0,685000.0,6.85
94,Hyundai,Verna,9.0,65000.0,Dealer,Diesel,Automatic,19.08,1582.0,126.32,5.0,380000.0,3.8
95,Renault,KWID,3.0,22000.0,Individual,Petrol,Manual,23.01,999.0,67.0,5.0,330000.0,3.3
96,Maruti,Baleno,3.0,7671.0,Trustmark Dealer,Petrol,Manual,21.01,1197.0,81.8,5.0,650000.0,6.5
97,Maruti,Wagon R,5.0,66000.0,Individual,Petrol,Manual,20.51,998.0,67.04,5.0,325000.0,3.25
98,Maruti,Swift Dzire,3.0,45156.0,Dealer,Petrol,Automatic,21.21,1197.0,81.8,5.0,640000.0,6.4
99,Hyundai,Venue,2.0,25000.0,Individual,Petrol,Manual,18.27,998.0,118.35,5.0,949000.0,9.49
100,Hyundai,Verna,6.0,120000.0,Individual,Diesel,Manual,23.9,1582.0,126.2,5.0,660000.0,6.6
101,Maruti,Swift,7.0,28000.0,Dealer,Petrol,Manual,16.1,1197.0,85.0,5.0,435000.0,4.35
102,Hyundai,i20,8.0,55000.0,Dealer,Diesel,Manual,21.9,1396.0,88.5,5.0,385000.0,3.85
103,Hyundai,Verna,2.0,14000.0,Dealer,Diesel,Automatic,22.0,1582.0,126.2,5.0,1250000.0,12.5
104,Maruti,Wagon R,12.0,98780.0,Dealer,Petrol,Manual,18.9,998.0,67.1,5.0,155000.0,1.55
105,Maruti,Swift,6.0,58000.0,Dealer,Diesel,Manual,25.2,1248.0,74.0,5.0,415000.0,4.15
106,Maruti,Alto,10.0,30000.0,Individual,Petrol,Manual,20.92,998.0,67.1,5.0,251000.0,2.51
107,Mahindra,Scorpio,5.0,46400.0,Dealer,Diesel,Manual,15.4,2179.0,120.0,7.0,1150000.0,11.5
108,Hyundai,i10,7.0,32111.0,Trustmark Dealer,Petrol,Manual,19.81,1086.0,68.05,5.0,310000.0,3.1
109,Datsun,GO,6.0,35000.0,Individual,Petrol,Manual,19.44,1198.0,67.0,7.0,350000.0,3.5
110,Mahindra,Scorpio,4.0,30000.0,Dealer,Diesel,Manual,15.4,1248.0,120.0,7.0,1125000.0,11.25
111,BMW,5,5.0,63000.0,Dealer,Diesel,Automatic,18.59,2993.0,261.49,5.0,2600000.0,26.0
112,Datsun,GO,3.0,10000.0,Individual,Petrol,Manual,20.62,1198.0,67.0,7.0,480000.0,4.8
113,Maruti,Swift Dzire,4.0,25000.0,Individual,Diesel,Automatic,28.4,1248.0,74.02,5.0,850000.0,8.5
114,Unknown,Creta,4.0,102000.0,Dealer,Diesel,Automatic,17.01,1582.0,126.2,5.0,1100000.0,11.0
115,Maruti,Swift,3.0,35000.0,Dealer,Petrol,Manual,22.0,1197.0,81.8,5.0,575000.0,5.75
116,Maruti,Swift Dzire,9.0,49948.0,Dealer,Petrol,Manual,17.5,1298.0,85.8,5.0,340000.0,3.4
117,Ford,Ecosport,3.0,55000.0,Individual,Diesel,Manual,23.0,1498.0,98.96,5.0,925000.0,9.25
118,Hyundai,Grand,6.0,36000.0,Dealer,Petrol,Manual,18.9,1197.0,82.0,5.0,400000.0,4.0
119,Honda,City,5.0,49625.0,Dealer,Petrol,Manual,17.8,1497.0,117.3,5.0,725000.0,7.25
120,Maruti,Swift Dzire,7.0,35000.0,Individual,Diesel,Manual,23.4,1248.0,88.5,5.0,600000.0,6.0
121,Mahindra,Scorpio,8.0,95000.0,Individual,Diesel,Manual,12.05,2179.0,120.0,8.0,550000.0,5.5
122,Ford,Aspire,4.0,36000.0,Dealer,Diesel,Manual,25.83,1498.0,99.0,5.0,585000.0,5.85
123,Maruti,Wagon R,2.0,50000.0,Individual,Petrol,Manual,21.79,998.0,67.05,5.0,411000.0,4.11
124,Maruti,Swift Dzire,6.0,26500.0,Individual,Petrol,Manual,20.85,1197.0,83.14,5.0,450000.0,4.5
125,Honda,CR-V,6.0,80000.0,Dealer,Petrol,Automatic,13.7,1997.0,153.86,5.0,1290000.0,12.9
126,Volkswagen,Polo,6.0,46000.0,Dealer,Petrol,Manual,16.47,1198.0,74.0,5.0,455000.0,4.55
127,Hyundai,Grand,2.0,9000.0,Individual,Petrol,Manual,20.7,1197.0,81.86,5.0,710000.0,7.1
128,Honda,City,5.0,53000.0,Dealer,Petrol,Manual,16.8,1497.0,88.5,5.0,770000.0,7.7
129,Ford,Endeavour,3.0,11387.0,Dealer,Diesel,Automatic,10.91,3198.0,197.0,7.0,2900000.0,29.0
130,Honda,Amaze,6.0,50000.0,Individual,Diesel,Manual,25.8,1498.0,98.6,5.0,720000.0,7.2
131,Mahindra,KUV,5.0,52000.0,Dealer,Diesel,Manual,25.32,1198.0,77.0,5.0,375000.0,3.75
132,Datsun,GO,6.0,35000.0,Individual,Petrol,Manual,19.44,1198.0,67.0,7.0,400000.0,4.0
133,Renault,Duster,6.0,48000.0,Individual,Diesel,Manual,19.87,1461.0,83.8,5.0,600000.0,6.0
134,Honda,Jazz,3.0,18000.0,Individual,Petrol,Manual,18.7,1199.0,88.7,5.0,600000.0,6.0
135,Maruti,Wagon R,9.0,57413.0,Individual,LPG,Manual,14.4,998.0,61.7,5.0,270000.0,2.7
136,Hyundai,i20,6.0,30000.0,Individual,Petrol,Manual,18.6,1197.0,81.83,5.0,500000.0,5.0
137,Hyundai,Verna,6.0,55000.0,Dealer,Diesel,Manual,23.9,1582.0,126.2,5.0,650000.0,6.5
138,Maruti,Swift,3.0,10000.0,Individual,Petrol,Automatic,21.21,1197.0,81.8,5.0,660000.0,6.6
139,BMW,3,5.0,68000.0,Dealer,Diesel,Automatic,22.69,1995.0,190.0,5.0,2090000.0,20.9
140,Kia,Seltos,6.0,8000.0,Dealer,Petrol,Manual,16.8,1497.0,113.4,5.0,1275000.0,12.75
141,Maruti,Swift,6.0,65000.0,Dealer,Diesel,Manual,28.4,1248.0,74.0,5.0,495000.0,4.95
142,Hyundai,Grand,5.0,25000.0,Dealer,Petrol,Manual,18.9,1197.0,82.0,5.0,475000.0,4.75
143,Maruti,Ciaz,6.0,70000.0,Individual,Petrol,Manual,20.73,1373.0,91.1,5.0,530000.0,5.3
144,Tata,Tiago,6.0,9500.0,Individual,Petrol,Manual,23.84,1199.0,84.0,5.0,530000.0,5.3
145,Hyundai,Verna,6.0,9100.0,Individual,Petrol,Manual,17.01,1591.0,121.3,5.0,650000.0,6.5
146,Honda,City,11.0,86000.0,Dealer,Petrol,Manual,17.0,1497.0,118.0,5.0,335000.0,3.35
147,Audi,A4,8.0,78000.0,Dealer,Diesel,Automatic,16.55,1248.0,147.51,5.0,1290000.0,12.9
148,Ford,Figo,10.0,60000.0,Individual,Diesel,Manual,20.0,1248.0,68.0,5.0,300000.0,3.0
149,Maruti,Wagon R,2.0,7883.0,Trustmark Dealer,Petrol,Automatic,21.5,1197.0,81.8,5.0,550000.0,5.5
150,Maruti,Swift Dzire,8.0,50205.0,Trustmark Dealer,Diesel,Manual,23.4,1248.0,74.0,5.0,390000.0,3.9
151,Mahindra,Bolero,13.0,130000.0,Individual,Diesel,Manual,13.6,2523.0,63.0,7.0,260000.0,2.6
152,Tata,Tigor,4.0,58000.0,Dealer,Diesel,Manual,24.7,1047.0,69.0,5.0,395000.0,3.95
154,Maruti,Swift Dzire,3.0,15000.0,Individual,Petrol,Manual,22.0,1197.0,81.8,5.0,650000.0,6.5
155,Maruti,Swift,5.0,71245.0,Dealer,Diesel,Manual,28.4,1248.0,74.0,5.0,375000.0,3.75
156,Kia,Seltos,2.0,7000.0,Individual,Petrol,Manual,16.1,1353.0,138.0,5.0,1300000.0,13.0
157,Maruti,Alto,3.0,20000.0,Individual,Petrol,Manual,23.95,998.0,88.5,5.0,360000.0,3.6
158,Maruti,Celerio,1.0,8700.0,Individual,Petrol,Manual,21.63,998.0,67.04,5.0,505000.0,5.05
159,Maruti,Alto,2.0,25000.0,Individual,Petrol,Manual,24.7,796.0,47.3,5.0,310000.0,3.1
160,Hyundai,i20,6.0,42000.0,Dealer,Petrol,Manual,18.6,1197.0,88.5,5.0,545000.0,5.45
161,Mahindra,Bolero,15.0,120000.0,Individual,Diesel,Manual,13.6,2523.0,63.0,7.0,150000.0,1.5
162,Maruti,Baleno,3.0,50000.0,Individual,Petrol,Manual,21.4,1197.0,83.1,5.0,580000.0,5.8
163,Maruti,Wagon R,10.0,58000.0,Individual,Petrol,Manual,18.9,998.0,67.1,5.0,250000.0,2.5
164,Hyundai,Verna,4.0,36000.0,Individual,Petrol,Manual,17.43,1396.0,105.5,5.0,650000.0,6.5
165,Maruti,Ertiga,3.0,30000.0,Individual,Diesel,Manual,25.47,1248.0,88.5,7.0,410000.0,4.1
166,Ford,Ecosport,6.0,130000.0,Dealer,Diesel,Manual,22.77,1498.0,98.59,5.0,531000.0,5.31
167,Ford,Ecosport,3.0,7500.0,Individual,Diesel,Manual,23.0,1498.0,98.96,5.0,890000.0,8.9
168,Tata,Safari,5.0,47227.0,Dealer,Diesel,Manual,14.0,2179.0,138.1,7.0,775000.0,7.75
170,Ford,Figo,9.0,74000.0,Dealer,Diesel,Manual,20.0,1399.0,68.05,5.0,185000.0,1.85
171,Mahindra,Bolero,10.0,47000.0,Dealer,Petrol,Manual,15.96,2523.0,62.1,7.0,440000.0,4.4
172,Hyundai,i20,6.0,50000.0,Individual,Petrol,Manual,18.6,1197.0,81.83,5.0,450000.0,4.5
173,Maruti,Baleno,6.0,100000.0,Individual,Petrol,Manual,21.4,1197.0,83.1,5.0,600000.0,6.0
174,Maruti,Celerio,7.0,35000.0,Individual,Petrol,Manual,23.1,998.0,67.04,5.0,320000.0,3.2
175,Hyundai,i20,5.0,50000.0,Individual,Diesel,Manual,19.67,1396.0,88.73,5.0,700000.0,7.0
176,Ford,Aspire,3.0,10000.0,Individual,Petrol,Manual,18.16,1196.0,86.8,5.0,630000.0,6.3
177,Maruti,Alto,5.0,10370.0,Individual,Petrol,Manual,22.74,796.0,47.3,5.0,320000.0,3.2
178,Honda,City,6.0,62000.0,Dealer,Petrol,Manual,16.8,1497.0,116.3,5.0,465000.0,4.65
179,Hyundai,i20,5.0,40000.0,Individual,Petrol,Manual,18.6,1197.0,81.83,5.0,550000.0,5.5
180,Maruti,Swift,4.0,60000.0,Individual,Petrol,Manual,22.0,1197.0,81.8,5.0,445000.0,4.45
181,Tata,Safari,6.0,67231.0,Dealer,Diesel,Manual,14.0,2179.0,138.1,7.0,705000.0,7.05
182,Maruti,Wagon R,8.0,64000.0,Dealer,CNG,Manual,33.54,998.0,67.04,5.0,270000.0,2.7
183,Honda,City,6.0,63000.0,Dealer,Diesel,Manual,26.0,1498.0,98.6,5.0,475000.0,4.75
184,Toyota,Fortuner,6.0,80000.0,Individual,Diesel,Manual,12.55,2982.0,168.5,7.0,1755000.0,17.55
185,Honda,City,6.0,55000.0,Dealer,Petrol,Manual,16.9,1497.0,100.0,5.0,350000.0,3.5
186,Hyundai,i20,5.0,11000.0,Dealer,Petrol,Manual,18.6,1197.0,81.83,5.0,575000.0,5.75
187,Renault,Unknown,4.0,17000.0,Individual,Petrol,Manual,23.01,999.0,67.0,5.0,360000.0,3.6
188,Maruti,Alto,4.0,25000.0,Individual,Petrol,Manual,24.7,796.0,47.3,5.0,275000.0,2.75
189,Datsun,GO,5.0,33350.0,Individual,Petrol,Manual,19.44,1198.0,67.0,7.0,320000.0,3.2
190,Unknown,Grand,6.0,62000.0,Dealer,Petrol,Manual,18.9,1197.0,82.0,5.0,370000.0,3.7
191,Maruti,Swift Dzire,12.0,50000.0,Individual,Petrol,Manual,17.5,1298.0,85.8,5.0,275000.0,2.75
192,Honda,City,7.0,86113.0,Dealer,Petrol,Manual,17.4,1497.0,117.3,5.0,550000.0,5.5
193,Maruti,Swift Dzire,3.0,10000.0,Individual,Diesel,Manual,28.4,1248.0,74.02,5.0,750000.0,7.5
194,Maruti,Wagon R,6.0,92537.0,Individual,Petrol,Manual,20.51,998.0,67.04,5.0,272000.0,2.72
195,Maruti,Ciaz,6.0,27645.0,Dealer,Diesel,Manual,28.09,1248.0,88.5,5.0,951000.0,9.51
196,Maruti,Alto,8.0,46242.0,Dealer,Petrol,Manual,20.92,998.0,67.1,5.0,280000.0,2.8
198,Renault,Unknown,1.0,6000.0,Individual,Petrol,Manual,22.3,799.0,53.26,5.0,450000.0,4.5
199,Hyundai,i20,4.0,64000.0,Dealer,Petrol,Manual,18.6,1248.0,81.83,5.0,480000.0,4.8
200,Mahindra,Scorpio,4.0,93000.0,Dealer,Diesel,Manual,15.4,1997.0,120.0,7.0,1060000.0,10.6
201,Maruti,Alto,8.0,26200.0,Dealer,Petrol,Manual,22.74,796.0,47.3,5.0,235000.0,2.35
202,Maruti,Baleno,4.0,50000.0,Individual,Petrol,Manual,21.4,1197.0,83.1,5.0,590000.0,5.9
203,Toyota,Fortuner,3.0,50000.0,Dealer,Diesel,Automatic,12.9,2755.0,174.5,7.0,2950000.0,29.5
204,Hyundai,Santro,13.0,80000.0,Individual,Petrol,Manual,17.92,1086.0,62.1,5.0,110000.0,1.1
205,Mahindra,Scorpio,14.0,110000.0,Individual,Diesel,Manual,13.5,2179.0,115.0,5.0,280000.0,2.8
206,Audi,A4,5.0,55000.0,Dealer,Petrol,Automatic,17.84,1395.0,147.51,5.0,1851000.0,18.51
207,Honda,City,6.0,25000.0,Individual,Petrol,Manual,17.4,1497.0,117.3,5.0,750000.0,7.5
209,Maruti,Swift Dzire,6.0,40000.0,Individual,Diesel,Manual,26.59,1248.0,74.0,5.0,530000.0,5.3
210,Mahindra,Thar,3.0,25000.0,Individual,Diesel,Manual,16.55,2498.0,105.0,6.0,870000.0,8.7
211,Renault,KWID,3.0,30038.0,Dealer,Petrol,Manual,25.17,799.0,53.3,5.0,295000.0,2.95
212,Tata,Tiago,4.0,53000.0,Individual,Diesel,Manual,27.28,1047.0,69.0,5.0,370000.0,3.7
213,Maruti,Swift,3.0,5000.0,Individual,Petrol,Manual,21.21,1197.0,81.8,5.0,530000.0,5.3
214,Renault,KWID,4.0,35000.0,Individual,Petrol,Automatic,24.04,999.0,67.0,5.0,350000.0,3.5
215,Ford,Ecosport,8.0,62000.0,Dealer,Diesel,Manual,22.7,1498.0,89.84,5.0,470000.0,4.7
216,Ford,Aspire,6.0,42000.0,Individual,Diesel,Manual,25.83,1498.0,99.0,5.0,390000.0,3.9
217,Mahindra,Scorpio,6.0,80000.0,Individual,Diesel,Manual,15.4,2179.0,120.0,7.0,920000.0,9.2
218,Mahindra,Unknown,6.0,60000.0,Individual,Diesel,Manual,15.1,2179.0,140.0,7.0,550000.0,5.5
219,Hyundai,Verna,7.0,45000.0,Individual,Diesel,Manual,22.32,1582.0,126.32,5.0,635000.0,6.35
220,Mahindra,XUV500,4.0,50000.0,Dealer,Diesel,Automatic,19.67,2179.0,140.0,7.0,1250000.0,12.5
221,Maruti,Alto,3.0,50000.0,Individual,Petrol,Manual,24.7,796.0,47.3,5.0,300000.0,3.0
222,Honda,City,3.0,12000.0,Individual,Petrol,Automatic,18.0,1497.0,117.6,5.0,960000.0,9.6
223,Maruti,Vitara,3.0,15000.0,Individual,Diesel,Manual,24.3,1248.0,88.5,5.0,750000.0,7.5
224,Volkswagen,Unknown,10.0,63000.0,Dealer,Petrol,Manual,16.47,1198.0,73.9,5.0,249000.0,2.49
225,Tata,Hexa,3.0,30000.0,Individual,Diesel,Manual,17.6,2179.0,153.86,7.0,1400000.0,14.0
226,Ford,Figo,10.0,130000.0,Individual,Diesel,Manual,20.0,1399.0,88.5,5.0,250000.0,2.5
227,Hyundai,Verna,7.0,120000.0,Individual,Diesel,Manual,22.32,1582.0,126.32,5.0,610000.0,6.1
228,Ford,Ecosport,5.0,78247.0,Dealer,Diesel,Manual,21.7,1498.0,88.5,5.0,545000.0,5.45
229,Hyundai,Verna,6.0,113000.0,Individual,Diesel,Manual,22.32,1582.0,126.3,5.0,480000.0,4.8
230,Hyundai,i20,7.0,52000.0,Dealer,Petrol,Manual,18.6,1197.0,81.83,5.0,395000.0,3.95
231,Toyota,Innova,9.0,109000.0,Dealer,Diesel,Manual,12.99,2494.0,100.6,7.0,495000.0,4.95
232,Hyundai,Grand,4.0,90000.0,Individual,Petrol,Manual,18.9,1197.0,82.0,5.0,470000.0,4.7
233,Volkswagen,Polo,10.0,98000.0,Dealer,Diesel,Manual,22.07,1199.0,73.9,5.0,200000.0,2.0
